player_name,real_name,nationality,team,player_status
Frostybee,Bagus Mega Setiawan,Indonesia,,Retired
Ftyan,,Japan,Team UNITE,Active
Fubuki,,Japan,O2 esports,Active
fuinhaFPS,André Luiz Lucatelli Borges,Brazil,BRAZUCAS,Active
FunFPS,Brandon Groombridge,United States,Team Liquid,Active
Funk,Rhys Smyth,Ireland,,Active
Furaru,,Japan,,Retired
Furen,Sebastian Błaszczyk,Poland,,Retired
Fury,Ariel Hernandez,United States,Team VIZIO,Active
Fussy,Cameron Clark,Australia,Sutoraiku,Active
FuTuRe,Jaylen Gammage,United States,,Retired
Fyzu,Dmitry Petrov,Russia,,Retired
Fzr,,Japan,IGZIST,Active
G0_Zh,Igor Zhukov,Russia,,Active
G0PGAP,Nitipath Puangpaiboon,Thailand,,Active
G7Dank,Connor Luke,United States,Lazarus,Active
Gabe,Gabriel Stohlmeyer,United States,,Retired
Gabeismon,Gabe Brunelle,United States,,Retired
Gabonito,Gabriel,Chile,,Active
Gaijin,Thanakorn Mungkunkamsao,Thailand,WHIZ,Active
Galatorix,Marcus Hultner,Sweden,,Active
Gallardd,Elías Gallardo,Argentina,TENGAA,Active
Ganjo,Jonathan Gandasasmita,Indonesia,,Retired
GaRpY,Gareth Marshall,United Kingdom,Myztro Gaming,Retired
Gaskin,Dan Gaskin,United Kingdom,,Active
GathaN,Achmad Haris,Indonesia,,Retired
GatoK4,Darko Beltran,Chile,,Active
Gaxalies,Maxence Albaut,France,,Retired
Gazzma,,Australia,,Active
gdolphn,Martin Skrydstrup,Denmark,Dexterity,Active
geesh,Garrett Shearer,United States,,Retired
Gemasoft,Gerardo Martínez,Mexico,All Glory Gaming,Active
Genburten,Noyan Ozkose,Australia,Reignite,Active
Geniusx,,Thailand,Overclock Esport,Active
Genome,Kale Morton,Australia,,Active
Gentrifyinq,Rigo Padilla,United States,G2 Esports,Active
Gerovic12,Nils Bode,Germany,,Active
GGEZ_Deep,Jian-Chang Li,Taiwan,StinkyB,Active
Gigz,Connor White,United States,,Retired
Gildersons,Zachary Dennis,United States,Team Liquid,Active
Glahn,Alex Glahn,United States,,Retired
Glat,Nguyễn Hữu Nghĩa,Vietnam,,Retired
GlitterXplosion,Lauren Laracuente,United States,,Active
Gnaske,Casper Emil Præstensgaard,Denmark,GMT Esports,Active
Golden,,United States,,Active
Goldenboy,Alex Mendez,United States,,Unknown
GossEyee,Naphat Thongjitr,Thailand,,Retired
Graceful,Martin Wongphrom,Sweden,Kungarna,Active
Grego,Gregory McAllen,United States,,Retired
GregoM,Gregorio Martinez,Argentina,,Active
Grettsu,Jeremy Mackin,United States,,Retired
GrimReality,Christopher Schaefer,United States,,Retired
GsBird,Gavin Schmidt,United States,Lazarus,Active
Gsnkryu,,Japan,SBI e-Sports,Active
GueiGo,Kuan-Hsian Su,Taiwan,,Retired
GuGu,,China,MDY,Active
GuhRL,Laurice Habibi,Canada,,Active
Guifaria1,Guilherme Faria,Brazil,FusioN E-Sport,Active
Guinho,Thiago Cesar de Almeida Couto,Brazil,Skull Cracker,Active
Gutbuster,Caleb Womack,South Africa,NiBBLE Esports,Active
Gxnjy,Brenden Legg,United Kingdom,69iQ eSports,Active
H1yaA,Jeong Jae-hui,South Korea,,Retired
Hachikobtw,Nicholas Bennett,Denmark,,Retired
Hakis,John Håkansson,Sweden,Alliance,Active
HAL,Thomas Avallone,Italy,,Active
Halcyon,Juan Martín,Argentina,,Retired
Hambino,Cameron Cisco,United States,,Active
HammerDrill,,Japan,Fascination Colors Destroy,Active
hanabijaa,Peeranut Puntsming,Thailand,,Retired
Hardecki,Konstantin Kozlov,Russia,Gambit Esports,Active
Hardly,Keegan Dwyer,United States,SoaR,Retired
HaRu,,Japan,,Active
Hatsume,Suzune Okamura,Japan,,Active
Heeeiii,Jin-Long Guo,Indonesia,Primis Komanda,Active
Heegak,Yoon Hee-jong,South Korea,FOR7,Active
HELL,Aaron-Anton Jones,United Kingdom,Myztro Gaming,Retired
help,Matthew Stokes,United States,,Active
henReel,Henry Lee,Canada,,Retired
Hero,Brett Easton,United States,,Active
Hers,Judy,United States,Kungarna,Active
Hesiko,,Japan,Riddle,Active
Hestia,Cem Üstün,Turkey,Australis,Retired
heykatie,Jackson Taylor,Australia,,Retired
Hiarka,Filipe Morgado,Portugal,K1CK,Active
Hiarky,Chris Lovstad,Canada,,Active
hikaruFrench,,Japan,,Retired
hikuman,,Japan,SBI e-Sports,Active
Hill,Elijah Hill,United States,Torrent,Active
His,Andrew,United States,Kungarna,Active
Hisofu,Artem Frizov,Russia,Redragon,Active
HisWattson,Jacob McMillin,United States,,Active
Hodsic,Haris Hodzic,Bosnia and Herzegovina,Team Liquid,Active
Holliday,Jacob Sandrik,United States,RCO eSports Red,Active
holoac,,Japan,,Active
HoNoSuu,,Japan,,Active
Hoony,Choi Dae-hoon,South Korea,,Active
Horizxon,Younes Elkherrat,United Kingdom,Guild Esports,Active
Hotoke,Hotta Maxim Alexander,Japan,FENNEL,Active
HTPHarold,Jason Hebblewhite,United Kingdom,UNDERRATED,Active
hundredz,Patrick Kwon,United States,,Active
HusKers,Jordan Thomas,United States,NRG Esports,Retired
IAmDrakey,John Stillwell,United States,,Retired
ibuo,,Japan,,Active
IDG,Lee Dong-gi,South Korea,,Retired
idgaf,Idham Syah,Indonesia,,Active
Iguyyyyy,Thanapat Srimuang,Thailand,,Active
iiTzTimmy,Timmy An,United States,,Active
IKILLONLYNOOB,Choltakorn Phochinda,Thailand,,Active
Iko,Christer Ringelien,Norway,,Active
iM07A,Mohammed Bin Suwedan,Yemen,NASR Esports,Active
ImMadness,Ryan Schlieve,United States,Renegades,Active
iMoonDx,Benjamin Ignacio Ortega Cruces,Chile,,Active
ImperialHal,Phillip Dosen,United States,TSM,Active
ImpulsiveDream,Cody Couch,United States,Ghost Gaming,Active
inboxes,Reed Tucker,United States,,Retired
InFighT,,Japan,,Active
Inhuman,Brenden Thomas Hammond,United States,,Active
Inhumed,,United States,,Active
INPA,Lee Sung-tan,South Korea,,Retired
Instyle,Csaba Szever,Hungary,,Active
InvctuZ,Victor Martins,Brazil,,Active
IPirrus,Lucas Gabriel Salinas,Argentina,LeaveNoWitness,Active
iPN,Kha Nguyen,Norway,,Active
iShiny,Bryan McCarthy,United States,Complexity Gaming,Active
ISkyee,Paulo Albuquerque,Brazil,Flawless Gaming,Active
isnoul,Gabriel Ceregatto,Brazil,,Retired
izxys,Jitviwat Phatcharakan,Thailand,,Retired
jaazzaz,Jake Lock,United Kingdom,UNDERRATED,Active
JackCute,Chaiyarit Saijung,Thailand,,Active
Jacky1,,China,,Active
Jacuu,Jacek Woś,Poland,,Active
Jaguares,Alexis Martinez,Mexico,All Glory Gaming,Active
Jalapenin,Emilio Jimenez,Mexico,,Active
JamejyS,Kanin Choowong,Thailand,,Retired
Jamerson,James Lee,United States,,Active
JamesFearless,James Phelps,United States,,Active
Jamren,,China,MDY White,Active
Janey,Janey,Canada,TSM,Active
Japa,Vitor Martins,Brazil,,Active
Jaro,Joshua Green,Australia,,Active
Jay3,Christopher Pavloff,United States,,Retired
JayceeTower,Juan Cruz De La Torre,Argentina,LeaveNoWitness,Active
JayDTR,João Raposo,Portugal,,Retired
JazzJuric,Jarred Juric,South Africa,Elite Gaming,Active
Jboxx,Joshua Crone,Australia,,Active
JCA,Chunkit Lee,Hong Kong,AFTERMATH Gaming Taiwan,Active
JCS,Samuel Arthur Olsen,United States,,Active
jelliedcorn,Daniel Piechota,Poland,Vexed Gaming,Active
Jerppe,Jesper Koski,Finland,,Retired
Jewelman,,Japan,,Active
JHow,Josh Howard,United States,,Retired
JieLun,Tung-Wei Chuang,Taiwan,ANT Esports Club,Active
Jiepai,,China,Golden Sage,Active
JIGEN,,Japan,V3 VEGA,Active
Jinqs,João Vitor Pegos Tel,Brazil,,Active
Jkw,Joey Wavering,United States,,Retired
Jmw,Jake Walters,United Kingdom,Kungarna,Active
joeyblackout,Joey Smith,United States,Pittsburgh Knights,Active
Johnknacker,Dominik Schweizer,Germany,,Active
JokeeV2,Rudy De Lamorinière,France,Solaris,Active
Joker,,China,DNZ,Active
Jomacs,Jose Antonio Mar Coronel,Mexico,All Glory Gaming,Active
Jongie,Tzu-Cheng Chi,Taiwan,,Retired
Joop,Martin Bègue,Argentina,TENGAA,Active
jORI,Jori van den Heuvel,Netherlands,,Active
Jovenzão,Luigi Pugliessa,Brazil,,Active
JP2,Justin Pate,United States,,Retired
JSavageW,Johan Wilbrenninck,France,Totem Esports,Active
JuanKorea,Kim Bong-sang,South Korea,T1,Retired
Jubjibbib,,Thailand,BearClaw Gaming,Active
Julez,Andreas Fischer,Germany,Game of Drones,Active
Jump,Bil Carter,United States,,Unknown
JungHee,Park Jung-hee,South Korea,REJECT,Active
Jusna,Shin Yong-ju,South Korea,FOR7,Active
K1SeKi,Tsu-Yao Yu,Taiwan,,Active
k4shera,Francisco Alves,Portugal,Acend,Active
KaDyh,Julien Gachadoatt,France,,Retired
Kaizer,,Hong Kong,,Active
kAkektoN,Remi Leroux,France,,Active
kaloq,,Japan,Revolution in Esports Affairs,Active
KaLPiNG,,Japan,,Retired
Kamaneko,Hiroki Kimoto,Japan,GameWith,Active
Kanaka,Gabriel Weber,United States,,Active
kanata,,Japan,RxR Clover,Active
Kane,Mã Đại Kha,Vietnam,,Retired
kangakanga,Gustaf Leufstedt,Sweden,,Inactive
Kangmo,,South Korea,,Active
Karaaju,,Japan,GTS Art,Active
KaRma,Lim Chae-won,South Korea,Quintette Fortissimo,Active
KaronPe,Lee Min-hyuk,South Korea,esports team αD,Active
Kasellos,Kullen Hilderbrant,United States,,Active
kassssa,,China,MDY,Active
Kate Yeager,Kate Yeager,United States,,Active
Katten,,Argentina,,Retired
kawase,,Japan,Crazy Raccoon,Retired
kazakh_boi,Assanali Zhandildin,Kazakhstan,dead inside,Active
kazu,Petr Vočadlo,Czech Republic,,Retired
Keni,Kenan Colakovic,United States,XSET,Active
KenTunG,You-Hung Tung,Taiwan,ANT Esports Club,Active
Keoon,Keon Berghout,United States,,Active
Kerebere,Gapur Parizhev,Russia,,Retired
kewzy,Miguel Morgado,Portugal,,Retired
Khalef,Gabriel Teles,Brazil,,Active
Khronnos,Micael Ancelmo,Brazil,ElemenT E-sports,Active
Ki5tE,Wirachet Wiratthanaphan,Thailand,,Retired
KiingZ,João Sobral,Brazil,Xen,Active
Killoposz,Teerachock Muedin,Thailand,EXO Clan,Active
